DATA;PM10;co;no2;Coletor
01/01/1997;36,841;1,7133;42,535;Carlos F.
02/01/1997;33,634;1,6083;57,02;Magno Filho
03/01/1997;35,319;1,8983;61,838;Patrícia M.
04/01/1997;29,742;1,675;78,51;Carlos F.
05/01/1997;43,343;2,012;82,008;Carlos F.
06/01/1997;43,787;2,458;135,51;Patrícia M.
07/01/1997;51,858;3,228;159,426;Patrícia M.
08/01/1997;53,457;3,966;182,9;Patrícia M.
09/01/1997;41,771;3,7217;131,714;Magno Filho
10/01/1997;54,352;4,5267;113,142;Magno Filho
11/01/1997;33,294;3,7667;82,892;Magno Filho
12/01/1997;35,838;3,4433;76,064;Magno Filho
13/01/1997;39,794;3,9433;95,604;Magno Filho
14/01/1997;53,626;3,825;118,452;Magno Filho
15/01/1997;54,672;3,7017;155,678;Magno Filho
16/01/1997;43,894;4,0917;131,31;Patrícia M.
17/01/1997;36,534;2,4117;68,772;Patrícia M.
18/01/1997;39,015;1,79;77,402;Patrícia M.
19/01/1997;31,412;2,0183;63,394;Patrícia M.
20/01/1997;39,82;3,1567;98,624;Patrícia M.
21/01/1997;43,209;3,378;129,275;Patrícia M.
22/01/1997;43,247;3,94;106,215;Patrícia M.
23/01/1997;40,885;3,308;98,33;Carlos F.
24/01/1997;42,229;3,5017;94,417;Carlos F.
25/01/1997;34,797;3,095;79,656;Carlos F.
26/01/1997;30,97;2,5386;71,8;Carlos F.
27/01/1997;42,828;3,8629;94,386;Carlos F.
28/01/1997;46,9;3,5483;85,477;Carlos F.
29/01/1997;56,243;4,0517;92,612;Carlos F.
30/01/1997;58,775;4,14;110,463;Carlos F.
31/01/1997;40,902;2,862;100,272;Carlos F.
01/02/1997;31,632;2,55;55,557;Carlos F.
02/02/1997;28,422;2,3075;57,865;Carlos F.
03/02/1997;42,492;2,6433;135,895;Carlos F.
04/02/1997;61,359;3,31;191,48;Patrícia M.
05/02/1997;68,107;2,9533;125,24;Patrícia M.
06/02/1997;73,784;3,2;120,79;Patrícia M.
07/02/1997;79,42;2,7943;158,18;Patrícia M.
08/02/1997;64,553;1,9514;77,22;Patrícia M.
09/02/1997;48,675;2,0757;104,628;Patrícia M.
10/02/1997;58,014;2,5943;135,39;Patrícia M.
11/02/1997;70,038;4,03;110,4;Patrícia M.
12/02/1997;69,538;2,5786;154,863;Magno Filho
13/02/1997;58,008;3,0929;147,322;Magno Filho
14/02/1997;54,687;3,93;149,183;Magno Filho
15/02/1997;45,952;4,22;125,59;Magno Filho
16/02/1997;30,475;2,6829;84,27;Magno Filho
17/02/1997;39,598;3,29;133,053;Patrícia M.
18/02/1997;41,73;3,4757;103,455;Carlos F.
19/02/1997;48,33;4,1557;108,263;Patrícia M.
20/02/1997;45,82;4,05;100,14;Carlos F.
21/02/1997;44,978;3,2343;93,347;Patrícia M.
22/02/1997;55,549;2,6186;104,447;Carlos F.
23/02/1997;55,658;3,1386;148,137;Patrícia M.
24/02/1997;50,612;2,65;82,594;Magno Filho
25/02/1997;53,903;2,85;181,972;Magno Filho
26/02/1997;58,552;2,4571;149,86;Magno Filho
27/02/1997;48,406;2,615;122,942;Magno Filho
28/02/1997;39,661;2,46;72,154;Magno Filho
01/03/1997;36,589;1,7571;58,236;Carlos F.
02/03/1997;37,515;1,5471;64,45;Carlos F.
03/03/1997;49,673;3,3586;147,982;Carlos F.
04/03/1997;50,577;3,03;155,13;Carlos F.
05/03/1997;52,924;3,3814;128,432;Carlos F.
06/03/1997;55,336;3,5267;125,73;Carlos F.
07/03/1997;61,199;3,9233;150,69;Carlos F.
08/03/1997;55,063;2,79;145,354;Carlos F.
09/03/1997;51,705;2,0717;83,278;Carlos F.
10/03/1997;49,882;2,8267;120,46;Carlos F.
11/03/1997;68,641;2,8643;146,688;Carlos F.
12/03/1997;78,967;4,2757;160,618;Carlos F.
13/03/1997;84,008;3,8586;186,34;Carlos F.
14/03/1997;67,739;2,9729;146,88;Carlos F.
15/03/1997;48,783;2,7171;102,892;Patrícia M.
16/03/1997;37,093;2,3;66,512;Patrícia M.
17/03/1997;35,88;1,9714;75,402;Patrícia M.
18/03/1997;40,9;2,1371;82,072;Patrícia M.
19/03/1997;49,06;2,3871;109,056;Patrícia M.
20/03/1997;59,907;2,6443;124,6;Patrícia M.
21/03/1997;57,016;2,5114;139,396;Patrícia M.
22/03/1997;48,166;2,1129;81,494;Patrícia M.
23/03/1997;56,917;2,1543;96,248;Patrícia M.
24/03/1997;77,742;3,6543;197,16;Patrícia M.
25/03/1997;51,94;2,1371;81,957;Patrícia M.
26/03/1997;45,997;2,2683;78,788;Patrícia M.
27/03/1997;48,741;1,9171;82,485;Patrícia M.
28/03/1997;39,83;1,6057;46,018;Patrícia M.
29/03/1997;39,619;1,1414;54,98;Patrícia M.
30/03/1997;48,09;1,7071;70,512;Patrícia M.
31/03/1997;52,972;3,115;115,22;Magno Filho
01/04/1997;54,86;4,3243;90,482;Magno Filho
02/04/1997;52,235;4,48;97,822;Magno Filho
03/04/1997;46,97;4,3686;97,337;Magno Filho
04/04/1997;53,791;4,5029;99,312;Magno Filho
05/04/1997;48,84;2,91;74,557;Magno Filho
06/04/1997;45,581;1,6986;57,778;Magno Filho
07/04/1997;44,422;2,2283;94,262;Magno Filho
08/04/1997;38,735;2,2871;79,665;Magno Filho
09/04/1997;38,478;2,1829;82,16;Magno Filho
10/04/1997;52,687;2,4857;111,645;Magno Filho
11/04/1997;81,087;4,0671;179,79;Magno Filho
12/04/1997;83,678;5,1757;117,707;Magno Filho
13/04/1997;65,324;2,5729;108,835;Magno Filho
14/04/1997;87,096;4,0186;223,333;Magno Filho
15/04/1997;83,186;3,2657;150,702;Magno Filho
16/04/1997;92,515;3,4371;167,842;Patrícia M.
17/04/1997;64,572;4,9329;109,698;Carlos F.
18/04/1997;55,98;4,6571;108,538;Patrícia M.
19/04/1997;50,361;4,0743;104,892;Patrícia M.
20/04/1997;34,508;4,0457;55,325;Patrícia M.
21/04/1997;25,518;2,4914;57,47;Patrícia M.
22/04/1997;43,587;2,5914;111,522;Patrícia M.
23/04/1997;43,611;2,7029;96,774;Patrícia M.
24/04/1997;66,258;3,3229;164,328;Patrícia M.
25/04/1997;86,661;5,424;127,406;Patrícia M.
26/04/1997;54,765;3,5767;98,228;Patrícia M.
27/04/1997;56,449;1,76;88,054;Patrícia M.
28/04/1997;59,217;4,3857;112,895;Patrícia M.
29/04/1997;80,285;4,3286;137,22;Patrícia M.
30/04/1997;94,72;4,4614;192,033;Patrícia M.
01/05/1997;77,622;4,0286;123,455;Carlos F.
02/05/1997;99,1;4,3114;171,57;Carlos F.
03/05/1997;94,352;3,92;207,488;Carlos F.
04/05/1997;47,819;1,7433;57,428;Carlos F.
05/05/1997;49,204;2,7117;105,893;Carlos F.
06/05/1997;67,932;2,8067;125,838;Carlos F.
07/05/1997;75,645;2,9;123,89;Carlos F.
08/05/1997;82,638;3,0843;141,288;Carlos F.
09/05/1997;86,515;3,4214;184,342;Carlos F.
10/05/1997;66,237;2,2686;103,685;Carlos F.
11/05/1997;61,252;1,9386;80,573;Carlos F.
12/05/1997;83,833;4,3729;169,797;Carlos F.
13/05/1997;86,794;4,5257;95,358;Carlos F.
14/05/1997;52,832;2,1371;79,578;Carlos F.
15/05/1997;58,889;2,56;91,068;Carlos F.
16/05/1997;75,808;3,14;120,59;Patrícia M.
17/05/1997;72,283;2,82;100,143;Patrícia M.
18/05/1997;68,508;2,555;86,822;Patrícia M.
19/05/1997;89,022;5,625;142,265;Patrícia M.
20/05/1997;97,534;5,6671;173,61;Patrícia M.
21/05/1997;83,655;4,99;128,422;Patrícia M.
